pipeline,fold,f1,recall,fpr
cascade@0.5thr,0,0.9665868112470054,0.9353343094192289,0.0
cascade+llm,0,0.9665868112470054,0.9353343094192289,0.0
cascade@0.5thr,1,0.9615406464807135,0.9954128440366973,0.05904673762147154
cascade+llm,1,0.9618685003125532,0.9954128440366973,0.058491439148542344
cascade@0.5thr,2,0.36780037600410187,0.9983762468104848,1.0
cascade+llm,2,0.36780037600410187,0.9983762468104848,1.0
cascade@0.5thr,3,0.8171909834035175,0.7247363796133568,0.01937445699391833
cascade+llm,3,0.8170444692183823,0.7245166959578208,0.01937445699391833
cascade@0.5thr,4,0.5586009992862241,0.8592446201141853,0.48149756775538566
cascade+llm,4,0.5571614395143807,0.8465085638998683,0.4715948575399583
cascade@0.5thr,pooled,0.6705527864605334,0.9152477226428873,0.3272494248081407
cascade+llm,pooled,0.6705814265347317,0.9129799746319714,0.3253964577446303
