pipeline,fold,f1,recall,fpr
cascade@0.5thr,0,0.9880400292897242,1.0,1.0
cascade+llm,0,0.9880400292897242,1.0,1.0
cascade@0.5thr,1,0.9916482018067155,0.9993129508759876,0.13352272727272727
cascade+llm,1,0.9916482018067155,0.9993129508759876,0.13352272727272727
cascade@0.5thr,2,0.9733606557377049,0.9787087912087912,0.26704545454545453
cascade+llm,2,0.9739663093415007,0.9828296703296703,0.29261363636363635
cascade@0.5thr,3,0.9987991079087322,1.0,0.007322175732217573
cascade+llm,3,0.9987991079087322,1.0,0.007322175732217573
cascade@0.5thr,4,1.0,1.0,0.0
cascade+llm,4,0.9993124785149536,0.9986259017519753,0.0
cascade@0.5thr,pooled,0.9901799290420679,0.995921748550309,0.0032368846958512614
cascade+llm,pooled,0.9901535539021687,0.9964315299815204,0.0033553073066750877
