row_id,lifetime_seconds,events_per_second,seq_length,unique_syscalls,uid_is_root,uid_changed,euid_root,max_uid_euid_delta,auid_euid_mismatch,failed_call_rate,failed_call_count,priv_op_count,exec_count,file_access_count,network_count,shell_from_service,sensitive_path_access,fold,true_label,technique,pred_xgb,proba_xgb,pred_cnn,proba_cnn,disagreement_direction
69,1.0,1.0,1,1,1,0,1,0,1,0.0,0,0,0,0,0,0,0,3,1,T1222,1,0.9765482544898988,0,0.8522466421127319,xgb_malicious_cnn_benign
843,1.0,1.0,1,1,0,0,0,0,0,0.0,0,0,0,1,0,0,0,2,1,T1595,0,0.001278604613617,1,0.999983251094818,xgb_benign_cnn_malicious
1427,1.0,1.0,1,1,1,0,1,0,1,1.0,1,0,1,0,0,0,0,2,1,T1548,0,0.964673638343811,1,0.9870211482048036,xgb_benign_cnn_malicious
1508,1.0,1.0,1,1,0,0,1,1000,1,0.0,0,0,1,0,0,0,0,3,1,T1548,1,0.999918818473816,0,0.8624439835548401,xgb_malicious_cnn_benign
2281,1.0,1.0,1,1,0,0,1,1001,1,0.0,0,0,1,0,0,0,0,3,1,T1548,1,0.999918818473816,0,0.8624513745307922,xgb_malicious_cnn_benign
2855,1.0,1.0,1,1,1,0,1,0,1,1.0,1,0,1,0,0,0,0,2,1,T1548,0,0.964673638343811,1,0.9870211482048036,xgb_benign_cnn_malicious
3653,1.0,1.0,1,1,1,0,1,0,1,1.0,1,0,1,0,0,0,0,2,1,T1548,0,0.964673638343811,1,0.9870211482048036,xgb_benign_cnn_malicious
6594,1.0,13.0,13,2,1,0,1,0,1,0.0,0,0,0,0,0,0,0,4,1,T1222,0,0.8476836681365967,1,0.991692304611206,xgb_benign_cnn_malicious
6596,1.0,1.0,1,1,1,0,1,0,1,1.0,1,0,1,0,0,0,0,2,1,T1548,0,0.964673638343811,1,0.9870211482048036,xgb_benign_cnn_malicious
7993,1.0,27.0,27,2,1,0,1,0,1,0.0,0,0,0,0,0,0,0,4,1,T1222,0,0.8476836681365967,1,0.9919057488441468,xgb_benign_cnn_malicious
8047,1.0,1.0,1,1,0,0,1,1000,1,0.0,0,0,1,0,0,0,0,3,1,T1548,1,0.999918818473816,0,0.8624439835548401,xgb_malicious_cnn_benign
8064,1.0,1.0,1,1,1,0,1,0,1,1.0,1,0,1,0,0,0,0,2,1,T1548,0,0.964673638343811,1,0.9870211482048036,xgb_benign_cnn_malicious
8065,1.0,1.0,1,1,1,0,1,0,1,1.0,1,0,1,0,0,0,0,2,1,T1548,0,0.964673638343811,1,0.9870211482048036,xgb_benign_cnn_malicious
9507,1.0,1.0,1,1,0,0,1,1000,1,0.0,0,0,1,0,0,0,0,3,1,T1548,1,0.999918818473816,0,0.8624439835548401,xgb_malicious_cnn_benign
9514,1.0,1.0,1,1,0,0,1,1000,1,0.0,0,0,1,0,0,0,0,3,1,T1548,1,0.999918818473816,0,0.8624439835548401,xgb_malicious_cnn_benign
10218,1.0,1.0,1,1,0,0,1,1000,1,0.0,0,0,1,0,0,0,0,3,1,T1548,1,0.999918818473816,0,0.8624439835548401,xgb_malicious_cnn_benign
10949,1.0,1.0,1,1,1,0,1,0,1,1.0,1,0,1,0,0,0,0,2,1,T1548,0,0.964673638343811,1,0.9870211482048036,xgb_benign_cnn_malicious
11683,1.0,1.0,1,1,0,0,1,1000,1,0.0,0,0,1,0,0,0,0,3,1,T1548,1,0.999918818473816,0,0.8624439835548401,xgb_malicious_cnn_benign
11747,1.0,1.0,1,1,1,0,1,0,1,1.0,1,0,1,0,0,0,0,2,1,T1548,0,0.964673638343811,1,0.9870211482048036,xgb_benign_cnn_malicious
11757,1.0,1.0,1,1,0,0,0,0,0,0.0,0,1,0,0,0,0,0,4,1,T1222,1,0.9651243686676024,0,0.983751654624939,xgb_malicious_cnn_benign
12357,1.0,1.0,1,1,1,0,1,0,1,1.0,1,0,1,0,0,0,0,2,1,T1548,0,0.964673638343811,1,0.9870211482048036,xgb_benign_cnn_malicious
12372,1.0,1.0,1,1,0,0,1,1001,1,0.0,0,0,1,0,0,0,0,3,1,T1595,1,0.999918818473816,0,0.8624513745307922,xgb_malicious_cnn_benign
12374,1.0,1.0,1,1,0,0,1,1001,1,0.0,0,0,1,0,0,0,0,3,1,T1548,1,0.999918818473816,0,0.8624513745307922,xgb_malicious_cnn_benign
13162,1.0,1.0,1,1,1,0,1,0,1,1.0,1,0,1,0,0,0,0,2,1,T1548,0,0.964673638343811,1,0.9870211482048036,xgb_benign_cnn_malicious
13164,1.0,1.0,1,1,0,0,1,1000,1,0.0,0,0,1,0,0,0,0,3,1,T1548,1,0.999918818473816,0,0.8624439835548401,xgb_malicious_cnn_benign
13181,1.0,1.0,1,1,1,0,1,0,1,1.0,1,0,1,0,0,0,0,2,1,T1548,0,0.964673638343811,1,0.9870211482048036,xgb_benign_cnn_malicious
13877,1.0,1.0,1,1,1,0,1,0,1,1.0,1,0,1,0,0,0,0,2,1,T1548,0,0.964673638343811,1,0.9870211482048036,xgb_benign_cnn_malicious
13922,1.0,1.0,1,1,0,0,1,1000,1,0.0,0,0,1,0,0,0,0,3,1,T1548,1,0.999918818473816,0,0.8624439835548401,xgb_malicious_cnn_benign
13929,1.0,1.0,1,1,1,0,1,0,1,1.0,1,0,1,0,0,0,0,2,1,T1548,0,0.964673638343811,1,0.9870211482048036,xgb_benign_cnn_malicious
13989,1.0,1.0,1,1,1,0,1,0,1,1.0,1,0,1,0,0,0,0,2,1,T1548,0,0.964673638343811,1,0.9870211482048036,xgb_benign_cnn_malicious
15367,1.0,1.0,1,1,1,0,1,0,1,1.0,1,0,1,0,0,0,0,2,1,T1548,0,0.964673638343811,1,0.9870211482048036,xgb_benign_cnn_malicious
15370,1.0,1.0,1,1,0,0,1,1000,1,0.0,0,0,1,0,0,0,0,3,1,T1548,1,0.999918818473816,0,0.8624439835548401,xgb_malicious_cnn_benign
15434,1.0,1.0,1,1,0,0,0,0,0,0.0,0,0,0,1,0,0,0,2,1,T1595,0,0.001278604613617,1,0.999983251094818,xgb_benign_cnn_malicious
16070,1.0,3.0,3,1,1,0,1,0,1,1.0,3,0,3,0,0,0,0,2,1,T1548,0,0.97784423828125,1,0.9784812331199646,xgb_benign_cnn_malicious
16133,1.0,1.0,1,1,0,0,1,1000,1,0.0,0,0,1,0,0,0,0,3,1,T1548,1,0.999918818473816,0,0.8624439835548401,xgb_malicious_cnn_benign
16152,1.0,1.0,1,1,1,0,1,0,1,1.0,1,0,1,0,0,0,0,2,1,T1548,0,0.964673638343811,1,0.9870211482048036,xgb_benign_cnn_malicious
17551,1.0,1.0,1,1,0,0,1,1000,1,0.0,0,0,1,0,0,0,0,3,1,T1548,1,0.999918818473816,0,0.8624439835548401,xgb_malicious_cnn_benign
18319,1.0,1.0,1,1,0,0,1,1000,1,0.0,0,0,1,0,0,0,0,3,1,T1548,1,0.999918818473816,0,0.8624439835548401,xgb_malicious_cnn_benign
19024,1.0,1.0,1,1,1,0,1,0,1,1.0,1,0,1,0,0,0,0,2,1,T1548,0,0.964673638343811,1,0.9870211482048036,xgb_benign_cnn_malicious
19639,1.0,1.0,1,1,1,0,1,0,1,1.0,1,0,1,0,0,0,0,2,1,T1548,0,0.964673638343811,1,0.9870211482048036,xgb_benign_cnn_malicious
19646,1.0,1.0,1,1,0,0,1,1000,1,0.0,0,0,1,0,0,0,0,3,1,T1548,1,0.999918818473816,0,0.8624439835548401,xgb_malicious_cnn_benign
20396,1.0,1.0,1,1,1,0,1,0,1,1.0,1,0,1,0,0,0,0,2,1,T1548,0,0.964673638343811,1,0.9870211482048036,xgb_benign_cnn_malicious
20434,1.0,1.0,1,1,0,0,1,1000,1,0.0,0,0,1,0,0,0,0,3,1,T1548,1,0.999918818473816,0,0.8624439835548401,xgb_malicious_cnn_benign
21499,1.0,1.0,1,1,1,0,1,0,1,1.0,1,0,1,0,0,0,0,2,1,T1548,0,0.964673638343811,1,0.9870211482048036,xgb_benign_cnn_malicious
21500,1.0,1.0,1,1,1,0,1,0,1,1.0,1,0,1,0,0,0,0,2,1,T1548,0,0.964673638343811,1,0.9870211482048036,xgb_benign_cnn_malicious
21501,1.0,1.0,1,1,1,0,1,0,1,1.0,1,0,1,0,0,0,0,2,1,T1548,0,0.964673638343811,1,0.9870211482048036,xgb_benign_cnn_malicious
21504,1.0,1.0,1,1,1,0,1,0,1,1.0,1,0,1,0,0,0,0,2,1,T1548,0,0.964673638343811,1,0.9870211482048036,xgb_benign_cnn_malicious
21505,1.0,1.0,1,1,1,0,1,0,1,1.0,1,0,1,0,0,0,0,2,1,T1548,0,0.964673638343811,1,0.9870211482048036,xgb_benign_cnn_malicious
21514,1.0,1.0,1,1,1,0,1,0,1,1.0,1,0,1,0,0,0,0,2,1,T1548,0,0.964673638343811,1,0.9870211482048036,xgb_benign_cnn_malicious
21520,1.0,1.0,1,1,1,0,1,0,1,1.0,1,0,1,0,0,0,0,2,1,T1548,0,0.964673638343811,1,0.9870211482048036,xgb_benign_cnn_malicious
21534,1.0,1.0,1,1,1,0,1,0,1,1.0,1,0,1,0,0,0,0,2,1,T1548,0,0.964673638343811,1,0.9870211482048036,xgb_benign_cnn_malicious
21545,1.0,1.0,1,1,1,0,1,0,1,1.0,1,0,1,0,0,0,0,2,1,T1548,0,0.964673638343811,1,0.9870211482048036,xgb_benign_cnn_malicious
21546,1.0,1.0,1,1,1,0,1,0,1,1.0,1,0,1,0,0,0,0,2,1,T1548,0,0.964673638343811,1,0.9870211482048036,xgb_benign_cnn_malicious
21547,1.0,1.0,1,1,1,0,1,0,1,1.0,1,0,1,0,0,0,0,2,1,T1548,0,0.964673638343811,1,0.9870211482048036,xgb_benign_cnn_malicious
21559,1.0,1.0,1,1,1,0,1,0,1,1.0,1,0,1,0,0,0,0,2,1,T1548,0,0.964673638343811,1,0.9870211482048036,xgb_benign_cnn_malicious
21563,1.0,1.0,1,1,1,0,1,0,1,1.0,1,0,1,0,0,0,0,2,1,T1548,0,0.964673638343811,1,0.9870211482048036,xgb_benign_cnn_malicious
21576,1.0,1.0,1,1,1,0,1,0,1,1.0,1,0,1,0,0,0,0,2,1,T1548,0,0.964673638343811,1,0.9870211482048036,xgb_benign_cnn_malicious
21577,1.0,1.0,1,1,1,0,1,0,1,1.0,1,0,1,0,0,0,0,2,1,T1548,0,0.964673638343811,1,0.9870211482048036,xgb_benign_cnn_malicious
21578,1.0,1.0,1,1,1,0,1,0,1,1.0,1,0,1,0,0,0,0,2,1,T1548,0,0.964673638343811,1,0.9870211482048036,xgb_benign_cnn_malicious
21580,1.0,1.0,1,1,1,0,1,0,1,1.0,1,0,1,0,0,0,0,2,1,T1548,0,0.964673638343811,1,0.9870211482048036,xgb_benign_cnn_malicious
21581,1.0,1.0,1,1,1,0,1,0,1,1.0,1,0,1,0,0,0,0,2,1,T1548,0,0.964673638343811,1,0.9870211482048036,xgb_benign_cnn_malicious
21590,1.0,1.0,1,1,1,0,1,0,1,1.0,1,0,1,0,0,0,0,2,1,T1548,0,0.964673638343811,1,0.9870211482048036,xgb_benign_cnn_malicious
21593,1.0,1.0,1,1,1,0,1,0,1,1.0,1,0,1,0,0,0,0,2,1,T1548,0,0.964673638343811,1,0.9870211482048036,xgb_benign_cnn_malicious
21600,1.0,1.0,1,1,1,0,1,0,1,1.0,1,0,1,0,0,0,0,2,1,T1548,0,0.964673638343811,1,0.9870211482048036,xgb_benign_cnn_malicious
21603,1.0,1.0,1,1,1,0,1,0,1,1.0,1,0,1,0,0,0,0,2,1,T1548,0,0.964673638343811,1,0.9870211482048036,xgb_benign_cnn_malicious
21609,1.0,1.0,1,1,1,0,1,0,1,1.0,1,0,1,0,0,0,0,2,1,T1548,0,0.964673638343811,1,0.9870211482048036,xgb_benign_cnn_malicious
21610,1.0,1.0,1,1,1,0,1,0,1,1.0,1,0,1,0,0,0,0,2,1,T1548,0,0.964673638343811,1,0.9870211482048036,xgb_benign_cnn_malicious
21933,1.0,1.0,1,1,0,0,1,1001,1,0.0,0,0,1,0,0,0,0,3,1,T1548,1,0.999918818473816,0,0.8624513745307922,xgb_malicious_cnn_benign
22066,1.0,1.0,1,1,0,0,1,1000,1,0.0,0,0,1,0,0,0,0,3,1,T1548,1,0.999918818473816,0,0.8624439835548401,xgb_malicious_cnn_benign
22082,1.0,1.0,1,1,0,0,1,1001,1,0.0,0,0,1,0,0,0,0,3,1,T1548,1,0.999918818473816,0,0.8624513745307922,xgb_malicious_cnn_benign
22084,1.0,1.0,1,1,0,0,1,1001,1,0.0,0,0,1,0,0,0,0,3,1,T1548,1,0.999918818473816,0,0.8624513745307922,xgb_malicious_cnn_benign
22231,1.0,1.0,1,1,0,0,1,1001,1,0.0,0,0,1,0,0,0,0,3,1,T1548,1,0.999918818473816,0,0.8624513745307922,xgb_malicious_cnn_benign
22857,1.0,13.0,13,2,1,0,1,0,1,0.0,0,0,0,0,0,0,0,4,1,T1222,0,0.8476836681365967,1,0.991692304611206,xgb_benign_cnn_malicious
22937,1.0,1.0,1,1,1,0,1,0,1,1.0,1,0,1,0,0,0,0,2,1,T1548,0,0.964673638343811,1,0.9870211482048036,xgb_benign_cnn_malicious
22944,1.0,1.0,1,1,1,0,1,0,1,0.0,0,0,0,0,0,0,0,3,1,T1222,1,0.9765482544898988,0,0.8522466421127319,xgb_malicious_cnn_benign
22948,1.0,1.0,1,1,1,0,1,0,1,1.0,1,0,1,0,0,0,0,2,1,T1548,0,0.964673638343811,1,0.9870211482048036,xgb_benign_cnn_malicious
22965,1.0,1.0,1,1,0,0,0,0,1,0.0,0,1,0,0,0,0,0,4,1,T1222,1,0.9520105123519896,0,0.9857449531555176,xgb_malicious_cnn_benign
22985,1.0,1.0,1,1,1,0,1,0,0,0.0,0,0,1,0,0,0,0,4,1,T1548,0,0.8004418611526489,1,0.991548478603363,xgb_benign_cnn_malicious
22993,1.0,1.0,1,1,1,0,1,0,0,0.0,0,0,1,0,0,0,0,4,1,T1059,0,0.8004418611526489,1,0.991548478603363,xgb_benign_cnn_malicious
23003,1.0,1.0,1,1,0,0,1,1001,1,0.0,0,0,1,0,0,0,0,3,1,T1548,1,0.999918818473816,0,0.8624513745307922,xgb_malicious_cnn_benign
25232,1.0,1.0,1,1,0,0,0,0,0,0.0,0,0,0,1,0,0,0,2,0,benign,0,0.001278604613617,1,0.999983251094818,xgb_benign_cnn_malicious
25277,1.0,1.0,1,1,0,0,0,0,0,0.0,0,0,0,1,0,0,0,2,1,T1595,0,0.001278604613617,1,0.999983251094818,xgb_benign_cnn_malicious
26003,1.0,1.0,1,1,0,0,1,1000,1,0.0,0,0,1,0,0,0,0,3,1,T1548,1,0.999918818473816,0,0.8624439835548401,xgb_malicious_cnn_benign
26685,1.0,1.0,1,1,1,0,1,0,1,1.0,1,0,1,0,0,0,0,2,1,T1548,0,0.964673638343811,1,0.9870211482048036,xgb_benign_cnn_malicious
26723,1.0,2.0,2,2,1,0,1,0,1,0.0,0,0,1,0,0,0,0,4,1,T1222,0,0.839655876159668,1,0.99452805519104,xgb_benign_cnn_malicious
26810,1.0,1.0,1,1,1,0,1,0,1,1.0,1,0,1,0,0,0,0,2,1,T1548,0,0.964673638343811,1,0.9870211482048036,xgb_benign_cnn_malicious
26814,1.0,1.0,1,1,0,0,1,1000,1,0.0,0,0,1,0,0,0,0,3,1,T1548,1,0.999918818473816,0,0.8624439835548401,xgb_malicious_cnn_benign
28292,1.0,1.0,1,1,0,0,0,0,0,0.0,0,0,0,1,0,0,0,2,1,T1595,0,0.001278604613617,1,0.999983251094818,xgb_benign_cnn_malicious
